lakeid,sampledate,depth,chlor,phaeo
CR,5/5/86,5,1.2,0.1
CR,5/5/86,8,1.6,0.3
CR,5/5/86,10,2.5,0.6
CR,5/5/86,12,2.8,0.2
CR,5/5/86,15,3.9,0.7
CR,5/5/86,19,4.7,1.5
CR,5/22/86,0,0.7,0
CR,5/22/86,3,0.6,0.1
CR,5/22/86,5,0.7,-0.1
CR,5/22/86,8,1,0.1
CR,5/22/86,10,1.3,0.3
CR,5/22/86,12,2.4,0.4
CR,5/22/86,15,4.9,0.7
CR,5/22/86,15,4.2,1
CR,5/22/86,19,10.3,0.6
CR,6/5/86,0,0.8,0
CR,6/5/86,3,0.9,-0.1
CR,6/5/86,5,0.8,0.2
CR,6/5/86,8,0.6,0.2
CR,6/5/86,10,0.6,0.2
CR,6/5/86,12,0.8,0.4
CR,6/5/86,15,1.5,0.5
CR,6/5/86,19,2.8,1
CR,6/5/86,19,2.2,1.3
CR,6/19/86,0,0.8,0.1
CR,6/19/86,3,0.9,0.4
CR,6/19/86,5,1.3,-0.1
CR,6/19/86,8,1,0
CR,6/19/86,10,1,0
CR,6/19/86,10,1,0.2
CR,6/19/86,12,0.4,0.1
CR,6/19/86,15,0.9,0.5
CR,6/19/86,19,1.4,0.9
CR,7/2/86,0,1,0.1
CR,7/2/86,3,1.1,-0.1
CR,7/2/86,5,1.1,0.1
CR,7/2/86,8,0.8,0.2
CR,7/2/86,10,1.2,0.1
CR,7/2/86,10,1.1,0.2
CR,7/2/86,12,1.4,0
CR,7/2/86,15,0.9,0.4
CR,7/2/86,19,0.8,1
CR,7/17/86,0,1.1,0.3
CR,7/17/86,3,1.5,0.1
CR,7/17/86,5,1.9,-0.2
CR,7/17/86,8,2,0.2
CR,7/17/86,10,1.6,0.4
CR,7/17/86,10,1.3,0.7
CR,7/17/86,12,6.2,0.8
CR,7/17/86,15,0.7,0.5
CR,7/17/86,19,0.3,0.8
CR,7/30/86,0,1.7,-0.1
CR,7/30/86,3,1.3,0.1
CR,7/30/86,5,1.4,0
CR,7/30/86,8,1.2,0.2
