lakeid,sampledate,depth,chlor,phaeo
CB,11/8/90,2,3.8,7.7
CB,1/15/91,0,2,9.1
CB,1/15/91,0,5.1,8.6
CB,1/15/91,1,-11,31.1
CB,1/15/91,2,-1.3,14.1
CB,2/18/91,0,20.7,19.6
CB,2/18/91,0,11.6,11
CB,2/18/91,1,2.6,10.2
CB,2/18/91,2,7.2,6.3
CB,3/22/91,0,47.1,5.4
CB,3/22/91,1,16,5.7
CB,3/22/91,2,39.4,15.4
CB,3/22/91,2,41.4,12.3
CB,5/9/91,0,16,-9
CB,5/9/91,0,-2.4,11.9
CB,5/9/91,1,-4,12.3
CB,5/9/91,2,-5,14.7
CB,5/21/91,0,3.2,0.5
CB,5/21/91,1,19.6,-10.3
CB,5/21/91,2,14.5,-8
CB,5/21/91,2,8.7,-3.1
CB,6/3/91,0,2.2,0
CB,6/3/91,1,7.5,2.7
CB,6/3/91,2,64.2,37.1
CB,6/3/91,2,80.2,18.1
CB,6/17/91,0,1.8,1.3
CB,6/17/91,1,4,1.6
CB,6/17/91,2,17.1,6.8
CB,6/17/91,2,20.9,10
CB,7/2/91,0,7.6,-1.5
CB,7/2/91,0,7.3,-3.5
CB,7/2/91,1,11.1,-1.6
CB,7/2/91,2,17.3,-5.6
CB,7/16/91,0,7.1,-3
CB,7/16/91,0,5.4,1.1
CB,7/16/91,1,6.8,-1.1
CB,7/16/91,2,47.3,-22.4
CB,7/31/91,0,5.1,-1.6
CB,7/31/91,0,3.3,0.7
CB,7/31/91,1,13.5,-4.4
CB,7/31/91,2,11.4,-3.4
CB,8/26/91,0,5.3,1.9
CB,8/26/91,1,21.5,-1.6
CB,8/26/91,2,95.9,16.6
CB,8/26/91,2,123.7,-49.1
CB,9/10/91,0,13.2,-1.9
CB,9/10/91,1,28.9,-7.6
CB,9/10/91,1,27.8,-6
CB,9/10/91,2,59.4,-15
CB,9/25/91,0,5.4,5.7
CB,9/25/91,1,12.3,0.5
CB,9/25/91,2,8.5,5.9
CB,9/25/91,2,7.3,5.6
CB,10/8/91,0,4.9,3.5
CB,10/8/91,0,4.6,4
CB,10/8/91,1,8.6,-0.6
CB,10/8/91,2,5.1,3.8
CB,10/29/91,0,3.5,4.5
CB,10/29/91,1,4.2,3.7
CB,10/29/91,2,4.2,4
CB,10/29/91,2,4,4.1
CB,1/15/92,0,13.7,-7.9
CB,1/15/92,0,10.1,-2.5
CB,1/15/92,1,7,0.6
CB,1/15/92,2,12,-2.8
CB,2/25/92,0,4.5,0.3
CB,2/25/92,1,18.2,-5.9
CB,2/25/92,2,23.9,-8
CB,2/25/92,2,21.7,-6.9
CB,3/25/92,0,9.5,2.4
CB,3/25/92,1,12.4,8.7
CB,3/25/92,2,66.2,22.2
CB,5/4/92,0,45,10.8
CB,5/4/92,1,7.3,3
CB,5/4/92,2,14.6,-1.4
CB,5/21/92,0,4.9,-1.3
CB,5/21/92,1,11.1,-1.9
CB,5/21/92,2,83.6,19
CB,6/4/92,0,3.9,3.8
CB,6/4/92,1,18.5,3.8
CB,6/4/92,2,111.8,51.3
CB,6/16/92,0,8.9,3.2
CB,6/16/92,1,8.7,3.8
CB,6/16/92,2,61.8,8.5
CB,7/8/92,0,5.6,0
CB,7/8/92,1,10.7,3.1
CB,7/8/92,2,6.3,3.9
CB,7/15/92,0,2.9,0.4
CB,7/15/92,1,6.8,-2.1
CB,7/15/92,2,14.4,0.2
CB,7/27/92,0,3.6,0.2
CB,7/27/92,1,14.6,1.1
CB,7/27/92,2,38.2,9.5
CB,7/27/92,2,22.1,6.7
CB,8/13/92,0,5.4,0.4
CB,8/13/92,1,14.6,5.4
CB,8/13/92,2,170.2,24.2
CB,8/13/92,2,298.9,-42.9
CB,8/26/92,0,4.5,1.5
CB,8/26/92,0,4.7,1.4
CB,8/26/92,1,27.7,-8.1
CB,8/26/92,2,8,16.5
CB,9/11/92,0,22.2,3.5
CB,9/11/92,1,23.5,4.6
CB,9/11/92,1,22,6.2
CB,9/11/92,2,17.8,3.1
CB,9/23/92,0,5.7,2.5
CB,9/23/92,1,57.2,5.4
CB,9/23/92,2,16.7,-5.4
CB,9/23/92,2,11.4,1.1
CB,10/7/92,0,54,1.3
CB,10/7/92,1,29.2,-5.1
CB,10/7/92,2,5.4,2.4
CB,10/7/92,2,6.9,-0.8
CB,10/22/92,0,2.2,5
CB,10/22/92,0,2.5,3.2
CB,10/22/92,1,1,7.4
CB,10/22/92,2,2.7,3.4
CB,11/5/92,0,9.3,-0.7
CB,11/5/92,1,4.6,1.9
CB,11/5/92,2,3.3,1.9
CB,11/5/92,2,2.9,2
CB,1/14/93,0,68.3,-1.4
CB,1/14/93,1,5,9.7
CB,1/14/93,2,4,11.1
CB,1/14/93,2,4.9,10.2
CB,2/25/93,0,8.1,0.5
CB,2/25/93,0,7.8,1.1
CB,2/25/93,1,13.1,5.6
CB,2/25/93,2,17,9.4
CB,3/23/93,0,4.6,4.4
CB,3/23/93,0,6.5,5
CB,3/23/93,1,8.1,7
CB,3/23/93,1.75,66,23
CB,5/4/93,0,6.3,2.2
CB,5/4/93,0,8,3.9
CB,5/4/93,1,7.3,6.1
CB,5/4/93,2,69.4,26.8
CB,5/19/93,0,3.5,1.2
CB,5/19/93,1,13.4,-1
CB,5/19/93,1,11.5,-0.1
CB,5/19/93,2,27.3,4.6
CB,6/3/93,0,2.6,0.1
CB,6/3/93,0,1.4,0
CB,6/3/93,1,10.4,-0.4
CB,6/3/93,2,46.6,5.5
CB,6/15/93,0,1.6,0.4
CB,6/15/93,1,6.3,0.5
CB,6/15/93,2,42.8,-7.9
CB,6/15/93,2,42.1,-3.6
CB,7/1/93,0,15.3,0.5
CB,7/1/93,1,22.2,0.7
CB,7/1/93,2,754.4,-39.4
CB,7/1/93,2,664.7,-4.8
CB,7/12/93,0,3.6,-1.1
CB,7/12/93,1,15.7,-5.6
CB,7/12/93,1,16.6,-6.2
CB,7/12/93,2,14.5,-5.2
CB,7/29/93,0,21.9,-8.3
CB,7/29/93,1,14.7,-5.1
CB,7/29/93,2,482.2,-168
CB,7/29/93,2,408.1,-150
CB,8/10/93,0,1.8,-0.5
CB,8/10/93,1,49.6,-21.3
CB,8/10/93,1,31.9,-12.7
CB,8/10/93,2,402.1,-165.3
CB,8/25/93,0,1.5,-0.5
CB,8/25/93,1,6.1,-1.6
CB,8/25/93,2,19.8,-7.5
CB,8/25/93,2,20.9,-9
CB,9/9/93,0,12,-7.2
CB,9/9/93,1,27.6,-17.4
CB,9/20/93,0,16.2,-6.4
CB,9/20/93,1,17.9,-6.1
CB,9/20/93,2,24.9,-10.9
CB,9/20/93,2,23.4,-9.6
CB,10/6/93,0,4,0.1
CB,10/6/93,1,15.7,-2.9
CB,10/6/93,2,33.3,-9
